scaf_name	start	end	tot_feat	cov
Tdi_LRv5a_scf1	0	100000	379121	3.79121
Tdi_LRv5a_scf1	50000	150000	277338	2.77338
Tdi_LRv5a_scf1	100000	200000	460229	4.60229
Tdi_LRv5a_scf1	150000	250000	592272	5.92272
Tdi_LRv5a_scf1	200000	300000	784982	7.84982
Tdi_LRv5a_scf1	250000	350000	608382	6.08382
Tdi_LRv5a_scf1	300000	400000	405674	4.05674
Tdi_LRv5a_scf1	350000	450000	648915	6.48915
Tdi_LRv5a_scf1	400000	500000	1016642	10.16642
Tdi_LRv5a_scf1	450000	550000	922454	9.22454
Tdi_LRv5a_scf1	500000	600000	669527	6.69527
Tdi_LRv5a_scf1	550000	650000	757764	7.57764
Tdi_LRv5a_scf1	600000	700000	829967	8.29967
Tdi_LRv5a_scf1	650000	750000	853685	8.53685
Tdi_LRv5a_scf1	700000	800000	833800	8.338
Tdi_LRv5a_scf1	750000	850000	706618	7.06618
Tdi_LRv5a_scf1	800000	900000	758957	7.58957
Tdi_LRv5a_scf1	850000	950000	846279	8.46279
Tdi_LRv5a_scf1	900000	1000000	567488	5.67488
Tdi_LRv5a_scf1	950000	1050000	560656	5.60656
Tdi_LRv5a_scf1	1000000	1100000	756599	7.56599
Tdi_LRv5a_scf1	1050000	1150000	786542	7.86542
Tdi_LRv5a_scf1	1100000	1200000	938914	9.38914
Tdi_LRv5a_scf1	1150000	1250000	795255	7.95255
Tdi_LRv5a_scf1	1200000	1300000	600759	6.00759
Tdi_LRv5a_scf1	1250000	1350000	691836	6.91836
Tdi_LRv5a_scf1	1300000	1400000	744380	7.4438
Tdi_LRv5a_scf1	1350000	1450000	762549	7.62549
Tdi_LRv5a_scf1	1400000	1500000	865124	8.65124
Tdi_LRv5a_scf1	1450000	1550000	651378	6.51378
Tdi_LRv5a_scf1	1500000	1600000	460946	4.60946
Tdi_LRv5a_scf1	1550000	1650000	484870	4.8487
Tdi_LRv5a_scf1	1600000	1700000	649024	6.49024
Tdi_LRv5a_scf1	1650000	1750000	719428	7.19428
Tdi_LRv5a_scf1	1700000	1800000	469327	4.69327
Tdi_LRv5a_scf1	1750000	1850000	486777	4.86777
Tdi_LRv5a_scf1	1800000	1900000	466001	4.66001
Tdi_LRv5a_scf1	1850000	1950000	301294	3.01294
Tdi_LRv5a_scf1	1900000	2000000	265061	2.65061
Tdi_LRv5a_scf1	1950000	2050000	521259	5.21259
Tdi_LRv5a_scf1	2000000	2100000	580510	5.8051
Tdi_LRv5a_scf1	2050000	2150000	627096	6.27096
Tdi_LRv5a_scf1	2100000	2200000	752576	7.52576
Tdi_LRv5a_scf1	2150000	2250000	456970	4.5697
Tdi_LRv5a_scf1	2200000	2300000	410520	4.1052
Tdi_LRv5a_scf1	2250000	2350000	555682	5.55682
Tdi_LRv5a_scf1	2300000	2400000	745785	7.45785
Tdi_LRv5a_scf1	2350000	2450000	877185	8.77185
Tdi_LRv5a_scf1	2400000	2500000	697666	6.97666
Tdi_LRv5a_scf1	2450000	2550000	904245	9.04245
Tdi_LRv5a_scf1	2500000	2600000	1108874	11.08874
Tdi_LRv5a_scf1	2550000	2650000	780029	7.80029
Tdi_LRv5a_scf1	2600000	2700000	590982	5.90982
Tdi_LRv5a_scf1	2650000	2750000	693039	6.93039
Tdi_LRv5a_scf1	2700000	2800000	846470	8.4647
Tdi_LRv5a_scf1	2750000	2850000	847728	8.47728
Tdi_LRv5a_scf1	2800000	2900000	863371	8.63371
Tdi_LRv5a_scf1	2850000	2950000	678206	6.78206
Tdi_LRv5a_scf1	2900000	3000000	446843	4.46843
Tdi_LRv5a_scf1	2950000	3050000	491766	4.91766
Tdi_LRv5a_scf1	3000000	3100000	537554	5.37554
Tdi_LRv5a_scf1	3050000	3150000	784901	7.84901
Tdi_LRv5a_scf1	3100000	3200000	1056357	10.56357
Tdi_LRv5a_scf1	3150000	3250000	1003284	10.03284
Tdi_LRv5a_scf1	3200000	3300000	705419	7.05419
Tdi_LRv5a_scf1	3250000	3350000	699996	6.99996
Tdi_LRv5a_scf1	3300000	3400000	666005	6.66005
Tdi_LRv5a_scf1	3350000	3450000	675150	6.7515
Tdi_LRv5a_scf1	3400000	3500000	948783	9.48783
Tdi_LRv5a_scf1	3450000	3550000	724259	7.24259
Tdi_LRv5a_scf1	3500000	3600000	517298	5.17298
Tdi_LRv5a_scf1	3550000	3650000	642512	6.42512
Tdi_LRv5a_scf1	3600000	3700000	946361	9.46361
Tdi_LRv5a_scf1	3650000	3750000	932353	9.32353
Tdi_LRv5a_scf1	3700000	3800000	818987	8.18987
Tdi_LRv5a_scf1	3750000	3850000	1068828	10.68828
Tdi_LRv5a_scf1	3800000	3900000	1175837	11.75837
Tdi_LRv5a_scf1	3850000	3950000	1036145	10.36145
Tdi_LRv5a_scf1	3900000	4000000	608996	6.08996
Tdi_LRv5a_scf1	3950000	4050000	519529	5.19529
Tdi_LRv5a_scf1	4000000	4100000	701822	7.01822
Tdi_LRv5a_scf1	4050000	4150000	699407	6.99407
Tdi_LRv5a_scf1	4100000	4200000	502847	5.02847
Tdi_LRv5a_scf1	4150000	4250000	291493	2.91493
Tdi_LRv5a_scf1	4200000	4300000	649423	6.49423
Tdi_LRv5a_scf1	4250000	4350000	885892	8.85892
Tdi_LRv5a_scf1	4300000	4400000	836510	8.3651
Tdi_LRv5a_scf1	4350000	4450000	806687	8.06687
Tdi_LRv5a_scf1	4400000	4500000	661232	6.61232
Tdi_LRv5a_scf1	4450000	4550000	735812	7.35812
Tdi_LRv5a_scf1	4500000	4600000	636850	6.3685
Tdi_LRv5a_scf1	4550000	4650000	453589	4.53589
Tdi_LRv5a_scf1	4600000	4700000	386491	3.86491
Tdi_LRv5a_scf1	4650000	4750000	264179	2.64179
Tdi_LRv5a_scf1	4700000	4800000	809573	8.09573
Tdi_LRv5a_scf1	4750000	4850000	2021876	20.21876
Tdi_LRv5a_scf1	4800000	4900000	1571526	15.71526
Tdi_LRv5a_scf1	4850000	4950000	427410	4.2741
Tdi_LRv5a_scf1	4900000	5000000	384844	3.84844
Tdi_LRv5a_scf1	4950000	5050000	491010	4.9101
Tdi_LRv5a_scf1	5000000	5100000	668869	6.68869
Tdi_LRv5a_scf1	5050000	5150000	680968	6.80968
Tdi_LRv5a_scf1	5100000	5200000	560992	5.60992
Tdi_LRv5a_scf1	5150000	5250000	580333	5.80333
Tdi_LRv5a_scf1	5200000	5300000	783694	7.83694
Tdi_LRv5a_scf1	5250000	5350000	937669	9.37669
Tdi_LRv5a_scf1	5300000	5400000	843666	8.43666
Tdi_LRv5a_scf1	5350000	5450000	678960	6.7896
Tdi_LRv5a_scf1	5400000	5500000	652829	6.52829
Tdi_LRv5a_scf1	5450000	5550000	567602	5.67602
Tdi_LRv5a_scf1	5500000	5600000	534410	5.3441
Tdi_LRv5a_scf1	5550000	5650000	627383	6.27383
Tdi_LRv5a_scf1	5600000	5700000	631059	6.31059
Tdi_LRv5a_scf1	5650000	5750000	711179	7.11179
Tdi_LRv5a_scf1	5700000	5800000	737342	7.37342
Tdi_LRv5a_scf1	5750000	5850000	459268	4.59268
Tdi_LRv5a_scf1	5800000	5900000	174041	1.74041
Tdi_LRv5a_scf1	5850000	5950000	379965	3.79965
Tdi_LRv5a_scf1	5900000	6000000	581329	5.81329
Tdi_LRv5a_scf1	5950000	6050000	584677	5.84677
Tdi_LRv5a_scf1	6000000	6100000	823275	8.23275
Tdi_LRv5a_scf1	6050000	6150000	717562	7.17562
Tdi_LRv5a_scf1	6100000	6200000	488023	4.88023
Tdi_LRv5a_scf1	6150000	6250000	708745	7.08745
Tdi_LRv5a_scf1	6200000	6300000	552975	5.52975
Tdi_LRv5a_scf1	6250000	6350000	652285	6.52285
Tdi_LRv5a_scf1	6300000	6400000	763226	7.63226
Tdi_LRv5a_scf1	6350000	6450000	291968	2.91968
Tdi_LRv5a_scf1	6400000	6500000	275279	2.75279
Tdi_LRv5a_scf1	6450000	6550000	490659	4.90659
Tdi_LRv5a_scf1	6500000	6600000	542975	5.42975
Tdi_LRv5a_scf1	6550000	6650000	697989	6.97989
Tdi_LRv5a_scf1	6600000	6700000	945258	9.45258
Tdi_LRv5a_scf1	6650000	6750000	1111196	11.11196
Tdi_LRv5a_scf1	6700000	6800000	967312	9.67312
Tdi_LRv5a_scf1	6750000	6850000	569423	5.69423
Tdi_LRv5a_scf1	6800000	6900000	480234	4.80234
Tdi_LRv5a_scf1	6850000	6950000	661749	6.61749
Tdi_LRv5a_scf1	6900000	7000000	863831	8.63831
Tdi_LRv5a_scf1	6950000	7050000	1111657	11.11657
Tdi_LRv5a_scf1	7000000	7100000	994927	9.94927
Tdi_LRv5a_scf1	7050000	7150000	993505	9.93505
Tdi_LRv5a_scf1	7100000	7200000	920244	9.20244
Tdi_LRv5a_scf1	7150000	7250000	534054	5.34054
Tdi_LRv5a_scf1	7200000	7300000	601603	6.01603
Tdi_LRv5a_scf1	7250000	7350000	740356	7.40356
Tdi_LRv5a_scf1	7300000	7400000	833529	8.33529
Tdi_LRv5a_scf1	7350000	7450000	827100	8.271
Tdi_LRv5a_scf1	7400000	7500000	655520	6.5552
Tdi_LRv5a_scf1	7450000	7550000	868880	8.6888
Tdi_LRv5a_scf1	7500000	7600000	1110213	11.10213
Tdi_LRv5a_scf1	7550000	7650000	1036688	10.36688
Tdi_LRv5a_scf1	7600000	7700000	903922	9.03922
Tdi_LRv5a_scf1	7650000	7750000	731860	7.3186
Tdi_LRv5a_scf1	7700000	7800000	856291	8.56291
Tdi_LRv5a_scf1	7750000	7850000	886265	8.86265
Tdi_LRv5a_scf1	7800000	7900000	802795	8.02795
Tdi_LRv5a_scf1	7850000	7950000	654963	6.54963
Tdi_LRv5a_scf1	7900000	8000000	635682	6.35682
Tdi_LRv5a_scf1	7950000	8050000	657414	6.57414
Tdi_LRv5a_scf1	8000000	8100000	717487	7.17487
Tdi_LRv5a_scf1	8050000	8150000	725380	7.2538
Tdi_LRv5a_scf1	8100000	8200000	663838	6.63838
Tdi_LRv5a_scf1	8150000	8250000	850907	8.50907
Tdi_LRv5a_scf1	8200000	8300000	843803	8.43803
Tdi_LRv5a_scf1	8250000	8350000	919720	9.1972
Tdi_LRv5a_scf1	8300000	8400000	715942	7.15942
Tdi_LRv5a_scf1	8350000	8450000	695465	6.95465
Tdi_LRv5a_scf1	8400000	8500000	838784	8.38784
Tdi_LRv5a_scf1	8450000	8550000	612880	6.1288
Tdi_LRv5a_scf1	8500000	8600000	747181	7.47181
Tdi_LRv5a_scf1	8550000	8650000	943271	9.43271
Tdi_LRv5a_scf1	8600000	8700000	865557	8.65557
Tdi_LRv5a_scf1	8650000	8750000	856328	8.56328
Tdi_LRv5a_scf1	8700000	8800000	736064	7.36064
Tdi_LRv5a_scf1	8750000	8850000	714225	7.14225
Tdi_LRv5a_scf1	8800000	8900000	741358	7.41358
Tdi_LRv5a_scf1	8850000	8950000	446219	4.46219
Tdi_LRv5a_scf1	8900000	9000000	324206	3.24206
Tdi_LRv5a_scf1	8950000	9050000	340025	3.40025
Tdi_LRv5a_scf1	9000000	9100000	339420	3.3942
Tdi_LRv5a_scf1	9050000	9150000	407430	4.0743
Tdi_LRv5a_scf1	9100000	9200000	424764	4.24764
Tdi_LRv5a_scf1	9150000	9250000	334668	3.34668
Tdi_LRv5a_scf1	9200000	9300000	538972	5.38972
Tdi_LRv5a_scf1	9250000	9350000	704399	7.04399
Tdi_LRv5a_scf1	9300000	9400000	605771	6.05771
Tdi_LRv5a_scf1	9350000	9450000	581178	5.81178
Tdi_LRv5a_scf1	9400000	9500000	449001	4.49001
Tdi_LRv5a_scf1	9450000	9550000	290988	2.90988
Tdi_LRv5a_scf1	9500000	9600000	382367	3.82367
Tdi_LRv5a_scf1	9550000	9650000	616020	6.1602
Tdi_LRv5a_scf1	9600000	9700000	565989	5.65989
Tdi_LRv5a_scf1	9650000	9750000	533849	5.33849
Tdi_LRv5a_scf1	9700000	9800000	827550	8.2755
Tdi_LRv5a_scf1	9750000	9850000	1041240	10.4124
Tdi_LRv5a_scf1	9800000	9900000	1022064	10.22064
Tdi_LRv5a_scf1	9850000	9950000	1133529	11.33529
Tdi_LRv5a_scf1	9900000	10000000	1166074	11.66074
