scaf_name	start	end	tot_feat	cov
Tdi_LRv5a_scf1	0	100000	1307567	13.07567
Tdi_LRv5a_scf1	50000	150000	1017084	10.17084
Tdi_LRv5a_scf1	100000	200000	1280437	12.80437
Tdi_LRv5a_scf1	150000	250000	1752356	17.52356
Tdi_LRv5a_scf1	200000	300000	2268025	22.68025
Tdi_LRv5a_scf1	250000	350000	1765792	17.65792
Tdi_LRv5a_scf1	300000	400000	1500418	15.00418
Tdi_LRv5a_scf1	350000	450000	2121595	21.21595
Tdi_LRv5a_scf1	400000	500000	2880668	28.80668
Tdi_LRv5a_scf1	450000	550000	2974228	29.74228
Tdi_LRv5a_scf1	500000	600000	2238274	22.38274
Tdi_LRv5a_scf1	550000	650000	2294095	22.94095
Tdi_LRv5a_scf1	600000	700000	2537683	25.37683
Tdi_LRv5a_scf1	650000	750000	2558401	25.58401
Tdi_LRv5a_scf1	700000	800000	2552782	25.52782
Tdi_LRv5a_scf1	750000	850000	2139884	21.39884
Tdi_LRv5a_scf1	800000	900000	2200660	22.0066
Tdi_LRv5a_scf1	850000	950000	2435060	24.3506
Tdi_LRv5a_scf1	900000	1000000	2068252	20.68252
Tdi_LRv5a_scf1	950000	1050000	2117114	21.17114
Tdi_LRv5a_scf1	1000000	1100000	2411843	24.11843
Tdi_LRv5a_scf1	1050000	1150000	2486803	24.86803
Tdi_LRv5a_scf1	1100000	1200000	2760673	27.60673
Tdi_LRv5a_scf1	1150000	1250000	2317949	23.17949
Tdi_LRv5a_scf1	1200000	1300000	1987805	19.87805
Tdi_LRv5a_scf1	1250000	1350000	2437041	24.37041
Tdi_LRv5a_scf1	1300000	1400000	2403037	24.03037
Tdi_LRv5a_scf1	1350000	1450000	2135018	21.35018
Tdi_LRv5a_scf1	1400000	1500000	2213988	22.13988
Tdi_LRv5a_scf1	1450000	1550000	2464727	24.64727
Tdi_LRv5a_scf1	1500000	1600000	2231704	22.31704
Tdi_LRv5a_scf1	1550000	1650000	1637239	16.37239
Tdi_LRv5a_scf1	1600000	1700000	2049840	20.4984
Tdi_LRv5a_scf1	1650000	1750000	2453299	24.53299
Tdi_LRv5a_scf1	1700000	1800000	1837772	18.37772
Tdi_LRv5a_scf1	1750000	1850000	1580725	15.80725
Tdi_LRv5a_scf1	1800000	1900000	1453792	14.53792
Tdi_LRv5a_scf1	1850000	1950000	1289161	12.89161
Tdi_LRv5a_scf1	1900000	2000000	1212440	12.1244
Tdi_LRv5a_scf1	1950000	2050000	1625778	16.25778
Tdi_LRv5a_scf1	2000000	2100000	1610289	16.10289
Tdi_LRv5a_scf1	2050000	2150000	1456888	14.56888
Tdi_LRv5a_scf1	2100000	2200000	1793647	17.93647
Tdi_LRv5a_scf1	2150000	2250000	1554992	15.54992
Tdi_LRv5a_scf1	2200000	2300000	1541542	15.41542
Tdi_LRv5a_scf1	2250000	2350000	1622972	16.22972
Tdi_LRv5a_scf1	2300000	2400000	1909107	19.09107
Tdi_LRv5a_scf1	2350000	2450000	2300582	23.00582
Tdi_LRv5a_scf1	2400000	2500000	1956326	19.56326
Tdi_LRv5a_scf1	2450000	2550000	2441613	24.41613
Tdi_LRv5a_scf1	2500000	2600000	2932272	29.32272
Tdi_LRv5a_scf1	2550000	2650000	2461906	24.61906
Tdi_LRv5a_scf1	2600000	2700000	2086995	20.86995
